guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: nog nietguild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .idee tester yoloswag 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: aiighttt 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .queue 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message:  
guild: ZIx0 , channel: minecraftboys, author: Kyro, message:  
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ah jooow hahaha 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: kben ff aant teste werkt 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: allml perfect 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: voila 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: nu kunge alles ook aanpasse enz 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .info 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .help 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ..djket 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .djket 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message:  
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .play fireflies killy 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Aait 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .skip 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: bij mn musicbot 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: is er 1 belangerijk ding 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Dope man 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: alsdie nog ni 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: in een voice channel zit eh 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: moege altijd .join doen 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: anders crasht hij 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Ja cva 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en dan moede wachte tot ik em heropstart haaha 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Hahaha shit 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: kwni hoek da kan fixe 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .djket 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: da zijn commands voor music 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ja meeste is int engels 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: omda 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ik geen nederlands publiek verwachtte eh aahah 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ma gelijk 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .games 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: is wel nederlands 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .stp schaar 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .roll 200 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .guessthenumber 117 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Haha wat is da 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: gwn 3 kleine spellekes 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: schaar steen papier 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: roll is random nummer tusse 1 en wa gij wilt 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en guessthenumber is een getal tusse 1 en 200 rade 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en da getal blijfet zelfde tot alset gerade is 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ma ik kan rap ff kijke welk getal da iswant da kom in de console haha 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: .stp steen 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .leave 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: leave doe de musicbot ff uit de channel trnws 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ale uit de voicechannel eh 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Cva 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: tnummer is 53 trnws 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: probeer maar 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: da veranderd telkens eh 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ale telkes dat gerade is 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: dus nu gaaket 'rade' 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Maak anders apparte comment chat 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .guessthenumber 53 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: nu iset nummer 2 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: .guessthenumber 2 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Hahah 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: jaa mss best 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: anders wordda ier spam 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Ja 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .info 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: alsge de code wil zien indie bot 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: moege op die onderste link drukke 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: die nr github gaa 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: 820 lijne code 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: .info 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: .help 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: .djket 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: ALTIJD EERST .JOIN GEBRUIKE VOOR GE MUZIEK BEGINT TE SPELEN!!!!!!! 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: alaise 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: weetge hoe roles enz werke 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Nie egt 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: alsge nrserver roles ga 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: kunge der toevoege 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en dan kunge die aan mense toevoege die roles 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: gelijk gij heb nu kyro role 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: da beteken 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: kheb u alle machtigigngen enz gegeve 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: dus gij kun alles doen 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en gij wor zo rechts apart van anderen weergegeven 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Da weet ik 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ahja voila 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Wacht kga keer op u teste 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ja cv 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: khad al roles voor luca en une vriend gemaakt ookt 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Kweet oe dade een rol maakt en oe dade Em toepast ma ik kan Da nie op u doen omdade eigenaar zijn 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ahja 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Ma komt in orde 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: ma kzal eigenaarschip naaru transfereren 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: want ikheb da inprincipe toch 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: die bot kan alles eh 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Cva 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: als ik beslis da die een random server verwijderd waardie inzit 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: dan kandie da doen hahaha 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: das echt OP 
guild: ZIx0 , channel: minecraftboys, author: Kyro, message: Ja 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .info 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .stp papier 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: voila 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: nuzjgij eigenaar 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: trnws die roles kunge zo verslepe 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en wage hoogst zet is belangerijkst 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: die toone ook hoogst rechts 
guild: ZIx0 , channel: minecraftboys, author: ROAM, message: en lager --> minder belangerijk 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: die .roll hebk er vooral ingestoke als 2 mense zo gelij hoedje op moete doen ofso 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: zo 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .roll 100 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .roll 100 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dan wint den eerste 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Ahb 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .stp schaar 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Stp.papier 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .stp papier 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: ```diff bot is niet 24/7 online alleen als mijn pc aanstaant eiglk , mischien binnekort wel 24/7 ``` 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: kut 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: ```diff
bot is niet 24/7 online alleen als mijn pc aanstaant eiglk , mischien binnekort wel 24/7
 ``` 
guild: ZIx0 , channel: bot-help-channel, author: ROAM, message: ```diff
- bot is niet 24/7 online , alleen als mijn pc aanstaant , mischien binnekort wel
``` 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .stp schaar 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .stp schaar 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .stp schaar 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ait 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: eindlk 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .join 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .play killy triple helix 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .stp steen 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .join 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .play killy triple helix 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .roll 10 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .leave 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .join 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .play killy triple helix 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .leave 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .leave 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .roll 10 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: kheb ooknog zowa verborge commands haha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: die kunde leze inde code das zo vantoen ik gestart was medezen bo 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: bot 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en die hebik achteraf gwn uit de .help command verw 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .help 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: maarni uitde code 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: bv 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .homo <@!220116580992942081> 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: hahahahaha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ´´´diff 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Hahaha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ```diff
 - doege door .homo @naam
``` 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Die bot sebiet op zen muile 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .homo <@!154580858207076353> 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: hahahah 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: .homo <@634462430251974657> 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: hhahaha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: tagt die zn eige 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .koekje 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: das nog zo 1 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: das zn wel de enigste daker nog ingelate heb 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: de andere ware efcht te waardeloos 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: deze doege door 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ```diff
- .koekje
``` 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .koekje 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en dan hebge nog 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: de league of legends commands 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: madie zn ni echt van toepassing hier 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: swe kunne we zien nr wannes zn recente games 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .summoner wanninator 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: of niet 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .summoner FocusMyRoam 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: amai komt ookgoe achter 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: da benik 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: nu mn broer 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: euhm wasdie zn naam 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: tis just 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .summoner DramaticRager 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Zot man 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .mastery DramaticRager 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: die music bot is nog altijd gekste 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: da was echt 500 lijne code voor nodig 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ale ma ikga ispitte 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: kzienu morge eej 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: betekent wel dadie bot mee offline ga gaan 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: want tot nu toe runt die gwn op mn pc 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dies nog nerges ge host ofso haha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: juuuu slaapwelll 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Cioa 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .slaapwel 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .slaapwel 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: haha tis nog lache 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: praktisch 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .slaapwel 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ah kga nog programmere da mn bot die message van .slaapwel moe verwijdere 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dan gaak pitte juuuuuw 
guild: ZIx0 , channel: bot-commands, author: Kyro, message: Juuu 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .slaapwe 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .slaapwel 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: voila 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .slaapwel 
guild: ZIx0 , channel: minecraftboys, author: lucadb2002, message:  
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Schou bot naamke 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ahahaha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .infoi 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .info 
guild: ZIx0 , channel: minecraftboys, author: FleXx_twar166X, message:  
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ja tis wel grotendeels engels want khad ni verwacht da nederlands mense die gingre grebruike eh 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .djket 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Ja maja ik kan da toch hellemaal niet 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: das voor de muziek 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: Lol 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ge moe altijd 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: eeerst join doen 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: eh 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: voorge play doet 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: anders crasht die 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Hoe kan ik same me die bot in party zitte 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: doe .join$ 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .join 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en dan .play en een lied naam 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: wacht iktoojn voor 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .join 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .play triple helix 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dan hebge queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .play doomsday 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Ziek dus wa moek intype voor een liedje 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .queue 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: .join 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .remove 1 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: .play dickhead 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Ja dus gwn .play en eenliedje 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: jaak 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en dan .queue 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: En hoe skip ik 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: om de queue te zien 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: Hallo 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: das .skip 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en verwijdere uit queue is .remove en nr van da liedje 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dus stel 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .play bob de bouwer 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .play no sad no bad 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .remove 1 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .queue 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Haha 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .remove1 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .remove 1 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: 1 moe spatie tusse 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ja zo 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Haha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .queue 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: Lol 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .queue niggas in paris 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: nee play niggas in paris 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: .play 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: .join 
guild: ZIx0 , channel: bot-commands, author: FleXx_twar166X, message: .play dickhead 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .play niggas in paris 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: mawa hahahahaha 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .djket 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ahja ge heb ook nog .pause 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en .resume 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: spreekt voor zich 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .pause 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: probeer nu isopnieuw 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Ah kheb daar geen permission voor 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .skip 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: alleen administrator kanda doen peisk 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .skip 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: moek die skipvotes wegdoen ofni 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: kwou da gwn keer probere 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .queue thiago silva 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ma das dage 2 votes moe hebbe alsgij da lied ni hebt aangevraagd om te skipp 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Nee das wel oke 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dus alsgij heb aangevraagd kunde direct skippe 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Ma nee doe gwn 1 vote 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: cv 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: maja alsgij vote 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: isda al 1 vote eh 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Aja oke cv 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dus eiglk heb ge 1 iem anders nodig 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .queue thiago silva 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Hoezo kent die da ni 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: nee gr moe gwn play doen 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: da ga automatischin queue 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .play thiago silva 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: queue is gewoon om queue te zien 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ja voila 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .queue 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Alleez 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: .play ik zag je 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .now 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: toont wa er nu speelt 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Allez kga wa lere ma die muziek 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: hahaha cv 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en .loop loopt de queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: ma die sta nogni in die help ding 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: omda die eerst ni wertkte 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .loop 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Was die loop 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dus 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: da ge de queue 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: opnieuw afspeelt 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: alstij gedaan is 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Aja zo 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: en alsge da wil annulere 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: moe ge weer 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: dan moede weer .loop doen 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: oke kut 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: .loop 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: doetet tochnog ni gaagahah 
guild: ZIx0 , channel: bot-commands, author: lucadb2002, message: Wow wa gebeurde er 
guild: ZIx0 , channel: bot-commands, author: ROAM, message: die loop wertk duidelijknognu 
